Tag1_tag,126
Tag1_reporter_ion,126.127726
Tag1_monoisotopic,100
Tag1_m1,0
Tag1_m2,0
Tag1_p1,5.7(127C)
Tag1_p2,0(128C)
Tag2_tag,127N
Tag2_reporter_ion,127.124761
Tag2_monoisotopic,100
Tag2_m1,0.2
Tag2_m2,0
Tag2_p1,4.7(128N)
Tag2_p2,0(129N)
Tag3_tag,127C
Tag3_reporter_ion,127.131081
Tag3_monoisotopic,100
Tag3_m1,0.2(126)
Tag3_m2,0
Tag3_p1,4.7(128C)
Tag3_p2,0(129C)
Tag4_tag,128N
Tag4_reporter_ion,128.128116
Tag4_monoisotopic,100
Tag4_m1,0.4(127N)
Tag4_m2,0
Tag4_p1,3.4(129N)
Tag4_p2,0(130N)
Tag5_tag,128C
Tag5_reporter_ion,128.134436
Tag5_monoisotopic,100
Tag5_m1,0.5(127C)
Tag5_m2,0(126)
Tag5_p1,3.2(129C)
Tag5_p2,0(130C)
Tag6_tag,129N
Tag6_reporter_ion,129.131471
Tag6_monoisotopic,100
Tag6_m1,0.7(128N)
Tag6_m2,0(127N)
Tag6_p1,3.3(130N)
Tag6_p2,0(131)
Tag7_tag,129C
Tag7_reporter_ion,129.137790
Tag7_monoisotopic,100
Tag7_m1,1.3(128C)
Tag7_m2,0(127C)
Tag7_p1,2.9(130C)
Tag7_p2,0
Tag8_tag,130N
Tag8_reporter_ion,130.134825
Tag8_monoisotopic,100
Tag8_m1,1.3(129N)
Tag8_m2,0(128N)
Tag8_p1,2.8(131)
Tag8_p2,1.7
Tag9_tag,130C
Tag9_reporter_ion,130.141544
Tag9_monoisotopic,100
Tag9_m1,1.6(129C)
Tag9_m2,0(128C)
Tag9_p1,1.7
Tag9_p2,0
Tag10_tag,131
Tag10_reporter_ion,131.138180
Tag10_monoisotopic,100
Tag10_m1,1.7(130N)
Tag10_m2,0.3(129N)
Tag10_p1,1.6
Tag10_p2,0